            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460167.375000000, A.D. 2023-Aug-10 21:00:00.0000,  9.276792916271694E+04,  3.833251867720645E+05,  2.622330184322136E+04,
2460167.395833333, A.D. 2023-Aug-10 21:30:00.0000,  9.105500448468226E+04,  3.838178973622636E+05,  2.633179725216236E+04,
2460167.416666667, A.D. 2023-Aug-10 22:00:00.0000,  8.934008980372528E+04,  3.843024876940125E+05,  2.643973229881647E+04,
2460167.437500000, A.D. 2023-Aug-10 22:30:00.0000,  8.762322243382350E+04,  3.847789531511074E+05,  2.654710505394140E+04,
2460167.458333333, A.D. 2023-Aug-10 23:00:00.0000,  8.590443967766581E+04,  3.852472892770229E+05,  2.665391360149928E+04,
2460167.479166667, A.D. 2023-Aug-10 23:30:00.0000,  8.418377882613167E+04,  3.857074917745945E+05,  2.676015603865450E+04,
2460167.500000000, A.D. 2023-Aug-11 00:00:00.0000,  8.246127715777326E+04,  3.861595565057035E+05,  2.686583047577151E+04,
2460167.520833333, A.D. 2023-Aug-11 00:30:00.0000,  8.073697193830005E+04,  3.866034794909612E+05,  2.697093503641253E+04,
2460167.541666667, A.D. 2023-Aug-11 01:00:00.0000,  7.901090042006619E+04,  3.870392569093942E+05,  2.707546785733540E+04,
2460167.562500000, A.D. 2023-Aug-11 01:30:00.0000,  7.728309984156063E+04,  3.874668850981292E+05,  2.717942708849104E+04,
2460167.583333333, A.D. 2023-Aug-11 02:00:00.0000,  7.555360742689949E+04,  3.878863605520798E+05,  2.728281089302083E+04,
2460167.604166667, A.D. 2023-Aug-11 02:30:00.0000,  7.382246038532142E+04,  3.882976799236314E+05,  2.738561744725422E+04,
2460167.625000000, A.D. 2023-Aug-11 03:00:00.0000,  7.208969591068514E+04,  3.887008400223288E+05,  2.748784494070587E+04,
2460167.645833333, A.D. 2023-Aug-11 03:30:00.0000,  7.035535118096980E+04,  3.890958378145621E+05,  2.758949157607299E+04,
2460167.666666667, A.D. 2023-Aug-11 04:00:00.0000,  6.861946335777749E+04,  3.894826704232552E+05,  2.769055556923265E+04,
2460167.687500000, A.D. 2023-Aug-11 04:30:00.0000,  6.688206958583847E+04,  3.898613351275525E+05,  2.779103514923848E+04,
2460167.708333333, A.D. 2023-Aug-11 05:00:00.0000,  6.514320699251872E+04,  3.902318293625076E+05,  2.789092855831809E+04,
2460167.729166667, A.D. 2023-Aug-11 05:30:00.0000,  6.340291268732979E+04,  3.905941507187723E+05,  2.799023405186977E+04,
2460167.750000000, A.D. 2023-Aug-11 06:00:00.0000,  6.166122376144122E+04,  3.909482969422846E+05,  2.808894989845963E+04,
2460167.770833333, A.D. 2023-Aug-11 06:30:00.0000,  5.991817728719495E+04,  3.912942659339594E+05,  2.818707437981796E+04,
2460167.791666667, A.D. 2023-Aug-11 07:00:00.0000,  5.817381031762247E+04,  3.916320557493776E+05,  2.828460579083653E+04,
2460167.812500000, A.D. 2023-Aug-11 07:30:00.0000,  5.642815988596392E+04,  3.919616645984769E+05,  2.838154243956477E+04,
2460167.833333333, A.D. 2023-Aug-11 08:00:00.0000,  5.468126300518949E+04,  3.922830908452424E+05,  2.847788264720672E+04,
2460167.854166667, A.D. 2023-Aug-11 08:30:00.0000,  5.293315666752309E+04,  3.925963330073981E+05,  2.857362474811747E+04,
2460167.875000000, A.D. 2023-Aug-11 09:00:00.0000,  5.118387784396826E+04,  3.929013897560987E+05,  2.866876708979942E+04,
2460167.895833333, A.D. 2023-Aug-11 09:30:00.0000,  4.943346348383608E+04,  3.931982599156216E+05,  2.876330803289922E+04,
2460167.916666667, A.D. 2023-Aug-11 10:00:00.0000,  4.768195051427538E+04,  3.934869424630596E+05,  2.885724595120369E+04,
2460167.937500000, A.D. 2023-Aug-11 10:30:00.0000,  4.592937583980492E+04,  3.937674365280143E+05,  2.895057923163625E+04,
2460167.958333333, A.D. 2023-Aug-11 11:00:00.0000,  4.417577634184777E+04,  3.940397413922895E+05,  2.904330627425318E+04,
2460167.979166667, A.D. 2023-Aug-11 11:30:00.0000,  4.242118887826758E+04,  3.943038564895854E+05,  2.913542549223991E+04,
2460168.000000000, A.D. 2023-Aug-11 12:00:00.0000,  4.066565028290712E+04,  3.945597814051930E+05,  2.922693531190709E+04,
2460168.020833333, A.D. 2023-Aug-11 12:30:00.0000,  3.890919736512862E+04,  3.948075158756894E+05,  2.931783417268665E+04,
2460168.041666667, A.D. 2023-Aug-11 13:00:00.0000,  3.715186690935603E+04,  3.950470597886330E+05,  2.940812052712790E+04,
2460168.062500000, A.D. 2023-Aug-11 13:30:00.0000,  3.539369567461951E+04,  3.952784131822598E+05,  2.949779284089350E+04,
2460168.083333333, A.D. 2023-Aug-11 14:00:00.0000,  3.363472039410158E+04,  3.955015762451793E+05,  2.958684959275529E+04,
2460168.104166667, A.D. 2023-Aug-11 14:30:00.0000,  3.187497777468523E+04,  3.957165493160723E+05,  2.967528927459044E+04,
2460168.125000000, A.D. 2023-Aug-11 15:00:00.0000,  3.011450449650399E+04,  3.959233328833873E+05,  2.976311039137703E+04,
2460168.145833333, A.D. 2023-Aug-11 15:30:00.0000,  2.835333721249377E+04,  3.961219275850393E+05,  2.985031146119002E+04,
2460168.166666667, A.D. 2023-Aug-11 16:00:00.0000,  2.659151254794644E+04,  3.963123342081073E+05,  2.993689101519695E+04,
2460168.187500000, A.D. 2023-Aug-11 16:30:00.0000,  2.482906710006548E+04,  3.964945536885337E+05,  3.002284759765351E+04,
2460168.208333333, A.D. 2023-Aug-11 17:00:00.0000,  2.306603743752307E+04,  3.966685871108234E+05,  3.010817976589949E+04,
2460168.229166667, A.D. 2023-Aug-11 17:30:00.0000,  2.130246010001911E+04,  3.968344357077433E+05,  3.019288609035418E+04,
2460168.250000000, A.D. 2023-Aug-11 18:00:00.0000,  1.953837159784202E+04,  3.969921008600229E+05,  3.027696515451203E+04,
2460168.270833333, A.D. 2023-Aug-11 18:30:00.0000,  1.777380841143111E+04,  3.971415840960550E+05,  3.036041555493802E+04,
2460168.291666667, A.D. 2023-Aug-11 19:00:00.0000,  1.600880699094055E+04,  3.972828870915960E+05,  3.044323590126354E+04,
2460168.312500000, A.D. 2023-Aug-11 19:30:00.0000,  1.424340375580550E+04,  3.974160116694687E+05,  3.052542481618148E+04,
2460168.333333333, A.D. 2023-Aug-11 20:00:00.0000,  1.247763509430905E+04,  3.975409597992635E+05,  3.060698093544174E+04,
2460168.354166667, A.D. 2023-Aug-11 20:30:00.0000,  1.071153736315143E+04,  3.976577335970412E+05,  3.068790290784676E+04,
2460168.375000000, A.D. 2023-Aug-11 21:00:00.0000,  8.945146887020741E+03,  3.977663353250360E+05,  3.076818939524671E+04,
2460168.395833333, A.D. 2023-Aug-11 21:30:00.0000,  7.178499958164859E+03,  3.978667673913587E+05,  3.084783907253481E+04,
2460168.416666667, A.D. 2023-Aug-11 22:00:00.0000,  5.411632835965262E+03,  3.979590323497007E+05,  3.092685062764256E+04,
2460168.437500000, A.D. 2023-Aug-11 22:30:00.0000,  3.644581746512257E+03,  3.980431328990380E+05,  3.100522276153532E+04,
2460168.458333333, A.D. 2023-Aug-11 23:00:00.0000,  1.877382882181709E+03,  3.981190718833365E+05,  3.108295418820684E+04,
2460168.479166667, A.D. 2023-Aug-11 23:30:00.0000,  1.100724012131743E+02,  3.981868522912568E+05,  3.116004363467509E+04,
2460168.500000000, A.D. 2023-Aug-12 00:00:00.0000, -1.657313572710312E+03,  3.982464772558592E+05,  3.123648984097701E+04,
2460168.520833333, A.D. 2023-Aug-12 00:30:00.0000, -3.424738950881596E+03,  3.982979500543105E+05,  3.131229156016366E+04,
2460168.541666667, A.D. 2023-Aug-12 01:00:00.0000, -5.192167679986731E+03,  3.983412741075900E+05,  3.138744755829545E+04,
2460168.562500000, A.D. 2023-Aug-12 01:30:00.0000, -6.959563742520623E+03,  3.983764529801965E+05,  3.146195661443687E+04,
2460168.583333333, A.D. 2023-Aug-12 02:00:00.0000, -8.726891157202035E+03,  3.984034903798553E+05,  3.153581752065185E+04,
2460168.604166667, A.D. 2023-Aug-12 02:30:00.0000, -1.049411397938681E+04,  3.984223901572262E+05,  3.160902908199845E+04,
2460168.625000000, A.D. 2023-Aug-12 03:00:00.0000, -1.226119630147993E+04,  3.984331563056112E+05,  3.168159011652382E+04,
2460168.645833333, A.D. 2023-Aug-12 03:30:00.0000, -1.402810225334623E+04,  3.984357929606631E+05,  3.175349945525927E+04,
2460168.666666667, A.D. 2023-Aug-12 04:00:00.0000, -1.579479600271983E+04,  3.984303044000940E+05,  3.182475594221492E+04,
2460168.687500000, A.D. 2023-Aug-12 04:30:00.0000, -1.756124175561202E+04,  3.984166950433849E+05,  3.189535843437474E+04,
2460168.708333333, A.D. 2023-Aug-12 05:00:00.0000, -1.932740375671844E+04,  3.983949694514950E+05,  3.196530580169125E+04,
2460168.729166667, A.D. 2023-Aug-12 05:30:00.0000, -2.109324628982423E+04,  3.983651323265715E+05,  3.203459692708027E+04,
2460168.750000000, A.D. 2023-Aug-12 06:00:00.0000, -2.285873367820876E+04,  3.983271885116604E+05,  3.210323070641584E+04,
2460168.770833333, A.D. 2023-Aug-12 06:30:00.0000, -2.462383028504861E+04,  3.982811429904163E+05,  3.217120604852468E+04,
2460168.791666667, A.D. 2023-Aug-12 07:00:00.0000, -2.638850051381951E+04,  3.982270008868143E+05,  3.223852187518103E+04,
2460168.812500000, A.D. 2023-Aug-12 07:30:00.0000, -2.815270880869709E+04,  3.981647674648606E+05,  3.230517712110147E+04,
2460168.833333333, A.D. 2023-Aug-12 08:00:00.0000, -2.991641965495657E+04,  3.980944481283047E+05,  3.237117073393916E+04,
2460168.854166667, A.D. 2023-Aug-12 08:30:00.0000, -3.167959757937129E+04,  3.980160484203509E+05,  3.243650167427887E+04,
2460168.875000000, A.D. 2023-Aug-12 09:00:00.0000, -3.344220715060976E+04,  3.979295740233710E+05,  3.250116891563110E+04,
2460168.895833333, A.D. 2023-Aug-12 09:30:00.0000, -3.520421297963215E+04,  3.978350307586167E+05,  3.256517144442722E+04,
2460168.916666667, A.D. 2023-Aug-12 10:00:00.0000, -3.696557972008541E+04,  3.977324245859329E+05,  3.262850826001336E+04,
2460168.937500000, A.D. 2023-Aug-12 10:30:00.0000, -3.872627206869711E+04,  3.976217616034698E+05,  3.269117837464527E+04,
2460168.958333333, A.D. 2023-Aug-12 11:00:00.0000, -4.048625476566866E+04,  3.975030480473984E+05,  3.275318081348276E+04,
2460168.979166667, A.D. 2023-Aug-12 11:30:00.0000, -4.224549259506713E+04,  3.973762902916226E+05,  3.281451461458395E+04,
2460169.000000000, A.D. 2023-Aug-12 12:00:00.0000, -4.400395038521616E+04,  3.972414948474935E+05,  3.287517882889992E+04,
2460169.020833333, A.D. 2023-Aug-12 12:30:00.0000, -4.576159300908583E+04,  3.970986683635248E+05,  3.293517252026880E+04,
2460169.041666667, A.D. 2023-Aug-12 13:00:00.0000, -4.751838538468162E+04,  3.969478176251063E+05,  3.299449476541035E+04,
2460169.062500000, A.D. 2023-Aug-12 13:30:00.0000, -4.927429247543218E+04,  3.967889495542194E+05,  3.305314465392029E+04,
2460169.083333333, A.D. 2023-Aug-12 14:00:00.0000, -5.102927929057628E+04,  3.966220712091518E+05,  3.311112128826429E+04,
2460169.104166667, A.D. 2023-Aug-12 14:30:00.0000, -5.278331088554880E+04,  3.964471897842131E+05,  3.316842378377254E+04,
2460169.125000000, A.D. 2023-Aug-12 15:00:00.0000, -5.453635236236568E+04,  3.962643126094505E+05,  3.322505126863398E+04,
2460169.145833333, A.D. 2023-Aug-12 15:30:00.0000, -5.628836887000792E+04,  3.960734471503645E+05,  3.328100288389015E+04,
2460169.166666667, A.D. 2023-Aug-12 16:00:00.0000, -5.803932560480486E+04,  3.958746010076245E+05,  3.333627778342989E+04,
2460169.187500000, A.D. 2023-Aug-12 16:30:00.0000, -5.978918781081627E+04,  3.956677819167856E+05,  3.339087513398289E+04,
2460169.208333333, A.D. 2023-Aug-12 17:00:00.0000, -6.153792078021372E+04,  3.954529977480046E+05,  3.344479411511449E+04,
2460169.229166667, A.D. 2023-Aug-12 17:30:00.0000, -6.328548985366106E+04,  3.952302565057572E+05,  3.349803391921901E+04,
2460169.250000000, A.D. 2023-Aug-12 18:00:00.0000, -6.503186042069387E+04,  3.949995663285539E+05,  3.355059375151451E+04,
2460169.270833333, A.D. 2023-Aug-12 18:30:00.0000, -6.677699792009831E+04,  3.947609354886577E+05,  3.360247283003631E+04,
2460169.291666667, A.D. 2023-Aug-12 19:00:00.0000, -6.852086784028882E+04,  3.945143723918009E+05,  3.365367038563121E+04,
2460169.312500000, A.D. 2023-Aug-12 19:30:00.0000, -7.026343571968527E+04,  3.942598855769020E+05,  3.370418566195143E+04,
2460169.333333333, A.D. 2023-Aug-12 20:00:00.0000, -7.200466714708906E+04,  3.939974837157840E+05,  3.375401791544852E+04,
2460169.354166667, A.D. 2023-Aug-12 20:30:00.0000, -7.374452776205854E+04,  3.937271756128913E+05,  3.380316641536733E+04,
2460169.375000000, A.D. 2023-Aug-12 21:00:00.0000, -7.548298325528343E+04,  3.934489702050075E+05,  3.385163044373982E+04,
2460169.395833333, A.D. 2023-Aug-12 21:30:00.0000, -7.721999936895887E+04,  3.931628765609730E+05,  3.389940929537878E+04,
2460169.416666667, A.D. 2023-Aug-12 22:00:00.0000, -7.895554189715811E+04,  3.928689038814033E+05,  3.394650227787194E+04,
2460169.437500000, A.D. 2023-Aug-12 22:30:00.0000, -8.068957668620489E+04,  3.925670614984066E+05,  3.399290871157550E+04,
2460169.458333333, A.D. 2023-Aug-12 23:00:00.0000, -8.242206963504481E+04,  3.922573588753025E+05,  3.403862792960799E+04,
2460169.479166667, A.D. 2023-Aug-12 23:30:00.0000, -8.415298669561605E+04,  3.919398056063392E+05,  3.408365927784395E+04,
2460169.500000000, A.D. 2023-Aug-13 00:00:00.0000, -8.588229387321926E+04,  3.916144114164126E+05,  3.412800211490752E+04,
2460169.520833333, A.D. 2023-Aug-13 00:30:00.0000, -8.760995722688688E+04,  3.912811861607840E+05,  3.417165581216640E+04,
2460169.541666667, A.D. 2023-Aug-13 01:00:00.0000, -8.933594286975142E+04,  3.909401398247993E+05,  3.421461975372498E+04,
2460169.562500000, A.D. 2023-Aug-13 01:30:00.0000, -9.106021696941346E+04,  3.905912825236060E+05,  3.425689333641846E+04,
2460169.583333333, A.D. 2023-Aug-13 02:00:00.0000, -9.278274574830847E+04,  3.902346245018734E+05,  3.429847596980582E+04,
2460169.604166667, A.D. 2023-Aug-13 02:30:00.0000, -9.450349548407328E+04,  3.898701761335095E+05,  3.433936707616400E+04,
2460169.625000000, A.D. 2023-Aug-13 03:00:00.0000, -9.622243250991174E+04,  3.894979479213803E+05,  3.437956609048072E+04,
2460169.645833333, A.D. 2023-Aug-13 03:30:00.0000, -9.793952321495960E+04,  3.891179504970282E+05,  3.441907246044837E+04,
2460169.666666667, A.D. 2023-Aug-13 04:00:00.0000, -9.965473404464885E+04,  3.887301946203902E+05,  3.445788564645717E+04,
2460169.687500000, A.D. 2023-Aug-13 04:30:00.0000, -1.013680315010714E+05,  3.883346911795170E+05,  3.449600512158877E+04,
2460169.708333333, A.D. 2023-Aug-13 05:00:00.0000, -1.030793821433418E+05,  3.879314511902905E+05,  3.453343037160940E+04,
2460169.729166667, A.D. 2023-Aug-13 05:30:00.0000, -1.047887525879599E+05,  3.875204857961434E+05,  3.457016089496305E+04,
2460169.750000000, A.D. 2023-Aug-13 06:00:00.0000, -1.064961095091721E+05,  3.871018062677765E+05,  3.460619620276516E+04,
2460169.770833333, A.D. 2023-Aug-13 06:30:00.0000, -1.082014196393328E+05,  3.866754240028776E+05,  3.464153581879547E+04,
2460169.791666667, A.D. 2023-Aug-13 07:00:00.0000, -1.099046497692643E+05,  3.862413505258402E+05,  3.467617927949125E+04,
2460169.812500000, A.D. 2023-Aug-13 07:30:00.0000, -1.116057667486169E+05,  3.857995974874806E+05,  3.471012613394062E+04,
2460169.833333333, A.D. 2023-Aug-13 08:00:00.0000, -1.133047374862277E+05,  3.853501766647573E+05,  3.474337594387552E+04,
2460169.854166667, A.D. 2023-Aug-13 08:30:00.0000, -1.150015289504795E+05,  3.848930999604880E+05,  3.477592828366469E+04,
2460169.875000000, A.D. 2023-Aug-13 09:00:00.0000, -1.166961081696584E+05,  3.844283794030686E+05,  3.480778274030701E+04,
2460169.895833333, A.D. 2023-Aug-13 09:30:00.0000, -1.183884422323112E+05,  3.839560271461901E+05,  3.483893891342406E+04,
2460169.916666667, A.D. 2023-Aug-13 10:00:00.0000, -1.200784982876018E+05,  3.834760554685572E+05,  3.486939641525343E+04,
2460169.937500000, A.D. 2023-Aug-13 10:30:00.0000, -1.217662435456678E+05,  3.829884767736053E+05,  3.489915487064148E+04,
2460169.958333333, A.D. 2023-Aug-13 11:00:00.0000, -1.234516452779756E+05,  3.824933035892188E+05,  3.492821391703613E+04,
2460169.979166667, A.D. 2023-Aug-13 11:30:00.0000, -1.251346708176754E+05,  3.819905485674472E+05,  3.495657320447985E+04,
2460170.000000000, A.D. 2023-Aug-13 12:00:00.0000, -1.268152875599558E+05,  3.814802244842241E+05,  3.498423239560213E+04,
2460170.020833333, A.D. 2023-Aug-13 12:30:00.0000, -1.284934629623970E+05,  3.809623442390827E+05,  3.501119116561269E+04,
2460170.041666667, A.D. 2023-Aug-13 13:00:00.0000, -1.301691645453244E+05,  3.804369208548734E+05,  3.503744920229370E+04,
2460170.062500000, A.D. 2023-Aug-13 13:30:00.0000, -1.318423598921613E+05,  3.799039674774809E+05,  3.506300620599263E+04,
2460170.083333333, A.D. 2023-Aug-13 14:00:00.0000, -1.335130166497806E+05,  3.793634973755401E+05,  3.508786188961496E+04,
2460170.104166667, A.D. 2023-Aug-13 14:30:00.0000, -1.351811025288565E+05,  3.788155239401529E+05,  3.511201597861640E+04,
2460170.125000000, A.D. 2023-Aug-13 15:00:00.0000, -1.368465853042155E+05,  3.782600606846040E+05,  3.513546821099572E+04,
2460170.145833333, A.D. 2023-Aug-13 15:30:00.0000, -1.385094328151865E+05,  3.776971212440776E+05,  3.515821833728717E+04,
2460170.166666667, A.D. 2023-Aug-13 16:00:00.0000, -1.401696129659509E+05,  3.771267193753722E+05,  3.518026612055264E+04,
2460170.187500000, A.D. 2023-Aug-13 16:30:00.0000, -1.418270937258920E+05,  3.765488689566171E+05,  3.520161133637425E+04,
2460170.208333333, A.D. 2023-Aug-13 17:00:00.0000, -1.434818431299433E+05,  3.759635839869869E+05,  3.522225377284654E+04,
2460170.229166667, A.D. 2023-Aug-13 17:30:00.0000, -1.451338292789371E+05,  3.753708785864169E+05,  3.524219323056904E+04,
2460170.250000000, A.D. 2023-Aug-13 18:00:00.0000, -1.467830203399520E+05,  3.747707669953181E+05,  3.526142952263792E+04,
2460170.270833333, A.D. 2023-Aug-13 18:30:00.0000, -1.484293845466600E+05,  3.741632635742916E+05,  3.527996247463863E+04,
2460170.291666667, A.D. 2023-Aug-13 19:00:00.0000, -1.500728901996732E+05,  3.735483828038425E+05,  3.529779192463800E+04,
2460170.312500000, A.D. 2023-Aug-13 19:30:00.0000, -1.517135056668899E+05,  3.729261392840946E+05,  3.531491772317588E+04,
2460170.333333333, A.D. 2023-Aug-13 20:00:00.0000, -1.533511993838399E+05,  3.722965477345035E+05,  3.533133973325773E+04,
2460170.354166667, A.D. 2023-Aug-13 20:30:00.0000, -1.549859398540299E+05,  3.716596229935706E+05,  3.534705783034612E+04,
2460170.375000000, A.D. 2023-Aug-13 21:00:00.0000, -1.566176956492875E+05,  3.710153800185560E+05,  3.536207190235281E+04,
2460170.395833333, A.D. 2023-Aug-13 21:30:00.0000, -1.582464354101056E+05,  3.703638338851911E+05,  3.537638184963069E+04,
2460170.416666667, A.D. 2023-Aug-13 22:00:00.0000, -1.598721278459856E+05,  3.697049997873914E+05,  3.538998758496542E+04,
2460170.437500000, A.D. 2023-Aug-13 22:30:00.0000, -1.614947417357803E+05,  3.690388930369684E+05,  3.540288903356723E+04,
2460170.458333333, A.D. 2023-Aug-13 23:00:00.0000, -1.631142459280365E+05,  3.683655290633421E+05,  3.541508613306274E+04,
2460170.479166667, A.D. 2023-Aug-13 23:30:00.0000, -1.647306093413369E+05,  3.676849234132518E+05,  3.542657883348636E+04,
2460170.500000000, A.D. 2023-Aug-14 00:00:00.0000, -1.663438009646408E+05,  3.669970917504677E+05,  3.543736709727203E+04,
2460170.520833333, A.D. 2023-Aug-14 00:30:00.0000, -1.679537898576260E+05,  3.663020498555014E+05,  3.544745089924469E+04,
2460170.541666667, A.D. 2023-Aug-14 01:00:00.0000, -1.695605451510284E+05,  3.655998136253170E+05,  3.545683022661186E+04,
2460170.562500000, A.D. 2023-Aug-14 01:30:00.0000, -1.711640360469819E+05,  3.648903990730403E+05,  3.546550507895468E+04,
2460170.583333333, A.D. 2023-Aug-14 02:00:00.0000, -1.727642318193578E+05,  3.641738223276692E+05,  3.547347546821974E+04,
2460170.604166667, A.D. 2023-Aug-14 02:30:00.0000, -1.743611018141038E+05,  3.634500996337830E+05,  3.548074141871008E+04,
2460170.625000000, A.D. 2023-Aug-14 03:00:00.0000, -1.759546154495818E+05,  3.627192473512510E+05,  3.548730296707645E+04,
2460170.645833333, A.D. 2023-Aug-14 03:30:00.0000, -1.775447422169060E+05,  3.619812819549409E+05,  3.549316016230854E+04,
2460170.666666667, A.D. 2023-Aug-14 04:00:00.0000, -1.791314516802799E+05,  3.612362200344278E+05,  3.549831306572602E+04,
2460170.687500000, A.D. 2023-Aug-14 04:30:00.0000, -1.807147134773332E+05,  3.604840782937012E+05,  3.550276175096961E+04,
2460170.708333333, A.D. 2023-Aug-14 05:00:00.0000, -1.822944973194581E+05,  3.597248735508726E+05,  3.550650630399214E+04,
2460170.729166667, A.D. 2023-Aug-14 05:30:00.0000, -1.838707729921444E+05,  3.589586227378818E+05,  3.550954682304926E+04,
2460170.750000000, A.D. 2023-Aug-14 06:00:00.0000, -1.854435103553154E+05,  3.581853429002046E+05,  3.551188341869065E+04,
2460170.770833333, A.D. 2023-Aug-14 06:30:00.0000, -1.870126793436621E+05,  3.574050511965576E+05,  3.551351621375047E+04,
2460170.791666667, A.D. 2023-Aug-14 07:00:00.0000, -1.885782499669775E+05,  3.566177648986044E+05,  3.551444534333813E+04,
2460170.812500000, A.D. 2023-Aug-14 07:30:00.0000, -1.901401923104901E+05,  3.558235013906606E+05,  3.551467095482927E+04,
2460170.833333333, A.D. 2023-Aug-14 08:00:00.0000, -1.916984765351969E+05,  3.550222781693984E+05,  3.551419320785599E+04,
2460170.854166667, A.D. 2023-Aug-14 08:30:00.0000, -1.932530728781962E+05,  3.542141128435507E+05,  3.551301227429761E+04,
2460170.875000000, A.D. 2023-Aug-14 09:00:00.0000, -1.948039516530196E+05,  3.533990231336151E+05,  3.551112833827100E+04,
2460170.895833333, A.D. 2023-Aug-14 09:30:00.0000, -1.963510832499632E+05,  3.525770268715573E+05,  3.550854159612101E+04,
2460170.916666667, A.D. 2023-Aug-14 10:00:00.0000, -1.978944381364190E+05,  3.517481420005130E+05,  3.550525225641104E+04,
2460170.937500000, A.D. 2023-Aug-14 10:30:00.0000, -1.994339868572051E+05,  3.509123865744911E+05,  3.550126053991284E+04,
2460170.958333333, A.D. 2023-Aug-14 11:00:00.0000, -2.009697000348956E+05,  3.500697787580753E+05,  3.549656667959713E+04,
2460170.979166667, A.D. 2023-Aug-14 11:30:00.0000, -2.025015483701502E+05,  3.492203368261250E+05,  3.549117092062357E+04,
2460171.000000000, A.D. 2023-Aug-14 12:00:00.0000, -2.040295026420428E+05,  3.483640791634765E+05,  3.548507352033073E+04,
2460171.020833333, A.D. 2023-Aug-14 12:30:00.0000, -2.055535337083899E+05,  3.475010242646429E+05,  3.547827474822625E+04,
2460171.041666667, A.D. 2023-Aug-14 13:00:00.0000, -2.070736125060786E+05,  3.466311907335144E+05,  3.547077488597663E+04,
2460171.062500000, A.D. 2023-Aug-14 13:30:00.0000, -2.085897100513936E+05,  3.457545972830568E+05,  3.546257422739713E+04,
2460171.083333333, A.D. 2023-Aug-14 14:00:00.0000, -2.101017974403439E+05,  3.448712627350108E+05,  3.545367307844161E+04,
2460171.104166667, A.D. 2023-Aug-14 14:30:00.0000, -2.116098458489890E+05,  3.439812060195902E+05,  3.544407175719202E+04,
2460171.125000000, A.D. 2023-Aug-14 15:00:00.0000, -2.131138265337647E+05,  3.430844461751789E+05,  3.543377059384830E+04,
2460171.145833333, A.D. 2023-Aug-14 15:30:00.0000, -2.146137108318076E+05,  3.421810023480286E+05,  3.542276993071786E+04,
2460171.166666667, A.D. 2023-Aug-14 16:00:00.0000, -2.161094701612804E+05,  3.412708937919552E+05,  3.541107012220478E+04,
2460171.187500000, A.D. 2023-Aug-14 16:30:00.0000, -2.176010760216952E+05,  3.403541398680347E+05,  3.539867153479980E+04,
2460171.208333333, A.D. 2023-Aug-14 17:00:00.0000, -2.190884999942372E+05,  3.394307600442988E+05,  3.538557454706896E+04,
2460171.229166667, A.D. 2023-Aug-14 17:30:00.0000, -2.205717137420872E+05,  3.385007738954297E+05,  3.537177954964351E+04,
2460171.250000000, A.D. 2023-Aug-14 18:00:00.0000, -2.220506890107444E+05,  3.375642011024540E+05,  3.535728694520869E+04,
2460171.270833333, A.D. 2023-Aug-14 18:30:00.0000, -2.235253976283479E+05,  3.366210614524374E+05,  3.534209714849295E+04,
2460171.291666667, A.D. 2023-Aug-14 19:00:00.0000, -2.249958115059973E+05,  3.356713748381769E+05,  3.532621058625699E+04,
2460171.312500000, A.D. 2023-Aug-14 19:30:00.0000, -2.264619026380740E+05,  3.347151612578941E+05,  3.530962769728278E+04,
2460171.333333333, A.D. 2023-Aug-14 20:00:00.0000, -2.279236431025609E+05,  3.337524408149268E+05,  3.529234893236237E+04,
2460171.354166667, A.D. 2023-Aug-14 20:30:00.0000, -2.293810050613617E+05,  3.327832337174205E+05,  3.527437475428656E+04,
2460171.375000000, A.D. 2023-Aug-14 21:00:00.0000, -2.308339607606198E+05,  3.318075602780192E+05,  3.525570563783406E+04,
2460171.395833333, A.D. 2023-Aug-14 21:30:00.0000, -2.322824825310365E+05,  3.308254409135561E+05,  3.523634206975954E+04,
2460171.416666667, A.D. 2023-Aug-14 22:00:00.0000, -2.337265427881889E+05,  3.298368961447426E+05,  3.521628454878274E+04,
2460171.437500000, A.D. 2023-Aug-14 22:30:00.0000, -2.351661140328466E+05,  3.288419465958575E+05,  3.519553358557663E+04,
2460171.458333333, A.D. 2023-Aug-14 23:00:00.0000, -2.366011688512882E+05,  3.278406129944361E+05,  3.517408970275590E+04,
2460171.479166667, A.D. 2023-Aug-14 23:30:00.0000, -2.380316799156174E+05,  3.268329161709567E+05,  3.515195343486528E+04,
2460171.500000000, A.D. 2023-Aug-15 00:00:00.0000, -2.394576199840783E+05,  3.258188770585295E+05,  3.512912532836800E+04,
2460171.520833333, A.D. 2023-Aug-15 00:30:00.0000, -2.408789619013697E+05,  3.247985166925819E+05,  3.510560594163345E+04,
2460171.541666667, A.D. 2023-Aug-15 01:00:00.0000, -2.422956785989593E+05,  3.237718562105448E+05,  3.508139584492598E+04,
2460171.562500000, A.D. 2023-Aug-15 01:30:00.0000, -2.437077430953974E+05,  3.227389168515385E+05,  3.505649562039212E+04,
2460171.583333333, A.D. 2023-Aug-15 02:00:00.0000, -2.451151284966293E+05,  3.216997199560569E+05,  3.503090586204923E+04,
2460171.604166667, A.D. 2023-Aug-15 02:30:00.0000, -2.465178079963077E+05,  3.206542869656518E+05,  3.500462717577284E+04,
2460171.625000000, A.D. 2023-Aug-15 03:00:00.0000, -2.479157548761044E+05,  3.196026394226166E+05,  3.497766017928459E+04,
